"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Comoros",27.1242,25.9379,26.8651,25.7658,24.8677,24.3906,22.9131,22.7776,23.6728,25.1677,26.9752,26.695,266.154,241.444,143.265,215.41,90.2123,50.9671,167.016,84.5888,25.8143,26.35,50.9361,238.668
"13","1902","Comoros",27.0454,26.3576,26.6371,26.6124,25.5677,23.9726,23.746,23.4365,25.323,25.7677,26.9659,26.4441,308.378,216.79,178.985,175.557,81.3233,50.9671,61.2791,35.2522,17.0047,41.0924,121.245,139.688
"25","1903","Comoros",26.7036,26.0714,26.7129,26.0143,25.5155,24.6006,23.3044,23.6851,23.631,25.0856,26.9503,26.4435,277.508,270.527,238.521,203.665,121.678,103.172,87.214,157.386,54.5809,50.9375,111.823,190.188
"37","1904","Comoros",26.1422,26.2099,26.2129,26.3571,26.4577,23.2664,22.5721,23.3533,23.5522,25.5367,26.4827,26.5516,306.604,241.444,213.401,221.936,84.0259,87.3563,73.8643,93.1714,27.7282,67.4642,144.766,187.323
"49","1905","Comoros",26.8832,26.6825,26.2192,25.3851,25.4614,24.5353,23.1316,23.6533,23.7242,26.0353,27.082,26.6758,246.009,210.671,173.922,195.559,146.673,124.33,105.291,87.1809,29.6076,57.715,82.3971,187.323
"61","1906","Comoros",26.8932,26.4379,26.2031,26.0143,25.1342,23.6862,23.1316,22.9465,23.8796,25.3596,26.5318,26.2049,306.604,241.444,213.401,221.936,146.673,124.33,105.291,87.1809,29.6076,57.715,82.3971,187.323
"73","1907","Comoros",26.2316,26.1379,26.3439,25.7733,25.0745,23.6074,22.5235,23.2465,24.0821,26.223,27.0318,26.7273,280.168,164.429,158.532,196.633,137.605,40.1125,162.178,51.8741,14.9038,6.23106,155.585,169.025
"85","1908","Comoros",27.1422,25.8241,26.6471,26.3658,25.3577,24.2074,23.2316,23.8261,24.623,26.223,27.0399,26.795,340.096,343.135,153.879,170.694,112.744,9.37768,91.2745,138.581,20.2577,79.8654,153.524,175.045
"97","1909","Comoros",26.4764,26.3961,26.5192,26.7571,24.7925,23.2906,23.4808,23.1261,24.669,25.3185,26.7659,26.7541,311.734,239.244,194.252,182.844,121.678,124.33,87.214,87.1809,30.8671,57.715,78.0908,163.477
"109","1910","Comoros",25.9926,26.3173,26.6308,27.1571,25.5577,23.2316,22.6335,23.3261,24.069,25.4367,25.9826,26.2354,288.086,223.362,226.76,189.155,121.678,103.172,87.214,72.4481,24.4048,71.9824,36.5761,151.29
