"","x"
"1","Temperature - (Celsius), Year, Month, Country, ISO3
3.55893, 1991, Jan, France, FRA
1.80521, 1991, Feb, France, FRA
9.06057, 1991, Mar, France, FRA
8.66942, 1991, Apr, France, FRA
11.5755, 1991, May, France, FRA
14.9801, 1991, Jun, France, FRA
19.8638, 1991, Jul, France, FRA
20.9565, 1991, Aug, France, FRA
17.9976, 1991, Sep, France, FRA
10.6867, 1991, Oct, France, FRA
6.65364, 1991, Nov, France, FRA
3.24705, 1991, Dec, France, FRA
2.29906, 1992, Jan, France, FRA
4.55385, 1992, Feb, France, FRA
7.54494, 1992, Mar, France, FRA
9.51007, 1992, Apr, France, FRA
15.2742, 1992, May, France, FRA
15.9715, 1992, Jun, France, FRA
19.2905, 1992, Jul, France, FRA
20.1121, 1992, Aug, France, FRA
15.4827, 1992, Sep, France, FRA
9.59145, 1992, Oct, France, FRA
8.77039, 1992, Nov, France, FRA
4.86715, 1992, Dec, France, FRA
5.4836, 1993, Jan, France, FRA
3.13798, 1993, Feb, France, FRA
6.82836, 1993, Mar, France, FRA
10.4283, 1993, Apr, France, FRA
14.078, 1993, May, France, FRA
17.3333, 1993, Jun, France, FRA
17.7762, 1993, Jul, France, FRA
18.7399, 1993, Aug, France, FRA
14.5764, 1993, Sep, France, FRA
10.2956, 1993, Oct, France, FRA
4.48424, 1993, Nov, France, FRA
6.09939, 1993, Dec, France, FRA
4.97169, 1994, Jan, France, FRA
4.96252, 1994, Feb, France, FRA
9.43613, 1994, Mar, France, FRA
8.59415, 1994, Apr, France, FRA
13.6962, 1994, May, France, FRA
17.1635, 1994, Jun, France, FRA
21.5293, 1994, Jul, France, FRA
20.0522, 1994, Aug, France, FRA
14.925, 1994, Sep, France, FRA
11.9551, 1994, Oct, France, FRA
10.1518, 1994, Nov, France, FRA
6.2915, 1994, Dec, France, FRA
4.20402, 1995, Jan, France, FRA
7.36125, 1995, Feb, France, FRA
6.3158, 1995, Mar, France, FRA
9.76773, 1995, Apr, France, FRA
13.6357, 1995, May, France, FRA
16.1103, 1995, Jun, France, FRA
21.3041, 1995, Jul, France, FRA
20.2393, 1995, Aug, France, FRA
14.3578, 1995, Sep, France, FRA
14.66, 1995, Oct, France, FRA
7.26124, 1995, Nov, France, FRA
3.82216, 1995, Dec, France, FRA
4.9136, 1996, Jan, France, FRA
2.83498, 1996, Feb, France, FRA
6.00496, 1996, Mar, France, FRA
10.1644, 1996, Apr, France, FRA
12.2964, 1996, May, France, FRA
17.7138, 1996, Jun, France, FRA
18.7712, 1996, Jul, France, FRA
18.3642, 1996, Aug, France, FRA
14.1342, 1996, Sep, France, FRA
11.869, 1996, Oct, France, FRA
6.77186, 1996, Nov, France, FRA
3.28313, 1996, Dec, France, FRA
1.9368, 1997, Jan, France, FRA
6.91015, 1997, Feb, France, FRA
9.40785, 1997, Mar, France, FRA
10.1144, 1997, Apr, France, FRA
14.2853, 1997, May, France, FRA
16.3099, 1997, Jun, France, FRA
18.5886, 1997, Jul, France, FRA
21.4124, 1997, Aug, France, FRA
17.251, 1997, Sep, France, FRA
12.3741, 1997, Oct, France, FRA
8.2487, 1997, Nov, France, FRA
5.35187, 1997, Dec, France, FRA
4.86991, 1998, Jan, France, FRA
5.90377, 1998, Feb, France, FRA
8.16341, 1998, Mar, France, FRA
9.02511, 1998, Apr, France, FRA
15.0778, 1998, May, France, FRA
17.2279, 1998, Jun, France, FRA
18.7817, 1998, Jul, France, FRA
19.7851, 1998, Aug, France, FRA
16.0487, 1998, Sep, France, FRA
11.696, 1998, Oct, France, FRA
4.86582, 1998, Nov, France, FRA
4.30678, 1998, Dec, France, FRA
5.18906, 1999, Jan, France, FRA
4.05425, 1999, Feb, France, FRA
8.12107, 1999, Mar, France, FRA
10.1828, 1999, Apr, France, FRA
15.436, 1999, May, France, FRA
16.5449, 1999, Jun, France, FRA
20.3432, 1999, Jul, France, FRA
19.67, 1999, Aug, France, FRA
18.1023, 1999, Sep, France, FRA
12.2885, 1999, Oct, France, FRA
5.92944, 1999, Nov, France, FRA
4.78268, 1999, Dec, France, FRA
3.45704, 2000, Jan, France, FRA
6.57088, 2000, Feb, France, FRA
7.70133, 2000, Mar, France, FRA
10.0482, 2000, Apr, France, FRA
15.2074, 2000, May, France, FRA
17.9375, 2000, Jun, France, FRA
17.5272, 2000, Jul, France, FRA
19.9285, 2000, Aug, France, FRA
16.9863, 2000, Sep, France, FRA
12.2341, 2000, Oct, France, FRA
8.10229, 2000, Nov, France, FRA
6.96208, 2000, Dec, France, FRA
5.09476, 2001, Jan, France, FRA
5.38091, 2001, Feb, France, FRA
8.83498, 2001, Mar, France, FRA
8.78069, 2001, Apr, France, FRA
15.001, 2001, May, France, FRA
16.8908, 2001, Jun, France, FRA
19.3916, 2001, Jul, France, FRA
20.1206, 2001, Aug, France, FRA
14.199, 2001, Sep, France, FRA
14.9239, 2001, Oct, France, FRA
5.95256, 2001, Nov, France, FRA
2.43543, 2001, Dec, France, FRA
4.44809, 2002, Jan, France, FRA
7.23602, 2002, Feb, France, FRA
8.63465, 2002, Mar, France, FRA
10.4656, 2002, Apr, France, FRA
13.1325, 2002, May, France, FRA
18.1052, 2002, Jun, France, FRA
18.5446, 2002, Jul, France, FRA
18.5881, 2002, Aug, France, FRA
15.5106, 2002, Sep, France, FRA
12.3023, 2002, Oct, France, FRA
8.98942, 2002, Nov, France, FRA
6.44734, 2002, Dec, France, FRA
2.7138, 2003, Jan, France, FRA
3.09489, 2003, Feb, France, FRA
9.14363, 2003, Mar, France, FRA
10.9943, 2003, Apr, France, FRA
14.5546, 2003, May, France, FRA
19.6, 2003, Jun, France, FRA
20.9261, 2003, Jul, France, FRA
21.3978, 2003, Aug, France, FRA
16.6883, 2003, Sep, France, FRA
10.2941, 2003, Oct, France, FRA
8.5264, 2003, Nov, France, FRA
4.85129, 2003, Dec, France, FRA
4.3428, 2004, Jan, France, FRA
4.71047, 2004, Feb, France, FRA
6.44371, 2004, Mar, France, FRA
9.99282, 2004, Apr, France, FRA
13.1694, 2004, May, France, FRA
18.0087, 2004, Jun, France, FRA
18.9351, 2004, Jul, France, FRA
19.7021, 2004, Aug, France, FRA
17.2087, 2004, Sep, France, FRA
13.2821, 2004, Oct, France, FRA
6.92157, 2004, Nov, France, FRA
3.88708, 2004, Dec, France, FRA
4.08257, 2005, Jan, France, FRA
2.27752, 2005, Feb, France, FRA
7.09584, 2005, Mar, France, FRA
10.3721, 2005, Apr, France, FRA
14.2587, 2005, May, France, FRA
19.2601, 2005, Jun, France, FRA
19.9764, 2005, Jul, France, FRA
18.6422, 2005, Aug, France, FRA
17.0157, 2005, Sep, France, FRA
14.3435, 2005, Oct, France, FRA
6.31558, 2005, Nov, France, FRA
2.56924, 2005, Dec, France, FRA
2.4149, 2006, Jan, France, FRA
2.98768, 2006, Feb, France, FRA
6.43463, 2006, Mar, France, FRA
10.3025, 2006, Apr, France, FRA
14.2008, 2006, May, France, FRA
18.7075, 2006, Jun, France, FRA
22.69, 2006, Jul, France, FRA
17.5396, 2006, Aug, France, FRA
18.5532, 2006, Sep, France, FRA
14.8685, 2006, Oct, France, FRA
9.39613, 2006, Nov, France, FRA
4.89067, 2006, Dec, France, FRA
6.41902, 2007, Jan, France, FRA
7.2453, 2007, Feb, France, FRA
7.6312, 2007, Mar, France, FRA
12.7511, 2007, Apr, France, FRA
14.6539, 2007, May, France, FRA
17.5697, 2007, Jun, France, FRA
18.2137, 2007, Jul, France, FRA
18.1477, 2007, Aug, France, FRA
15.2448, 2007, Sep, France, FRA
11.5923, 2007, Oct, France, FRA
6.35227, 2007, Nov, France, FRA
3.89842, 2007, Dec, France, FRA
5.90761, 2008, Jan, France, FRA
6.378, 2008, Feb, France, FRA
6.86629, 2008, Mar, France, FRA
9.43229, 2008, Apr, France, FRA
14.8813, 2008, May, France, FRA
17.2776, 2008, Jun, France, FRA
19.1913, 2008, Jul, France, FRA
19.0456, 2008, Aug, France, FRA
14.9928, 2008, Sep, France, FRA
11.4769, 2008, Oct, France, FRA
7.23921, 2008, Nov, France, FRA
3.35701, 2008, Dec, France, FRA
1.73942, 2009, Jan, France, FRA
3.85008, 2009, Feb, France, FRA
7.09315, 2009, Mar, France, FRA
10.9772, 2009, Apr, France, FRA
15.0941, 2009, May, France, FRA
17.6183, 2009, Jun, France, FRA
19.5057, 2009, Jul, France, FRA
20.6971, 2009, Aug, France, FRA
16.9597, 2009, Sep, France, FRA
12.6614, 2009, Oct, France, FRA
9.67666, 2009, Nov, France, FRA
4.47373, 2009, Dec, France, FRA
1.0626, 2010, Jan, France, FRA
3.54377, 2010, Feb, France, FRA
6.58919, 2010, Mar, France, FRA
11.0309, 2010, Apr, France, FRA
12.467, 2010, May, France, FRA
17.5249, 2010, Jun, France, FRA
20.9197, 2010, Jul, France, FRA
18.7677, 2010, Aug, France, FRA
15.531, 2010, Sep, France, FRA
11.4745, 2010, Oct, France, FRA
7.01214, 2010, Nov, France, FRA
1.57946, 2010, Dec, France, FRA
3.83745, 2011, Jan, France, FRA
5.53264, 2011, Feb, France, FRA
8.25155, 2011, Mar, France, FRA
13.1114, 2011, Apr, France, FRA
15.7893, 2011, May, France, FRA
17.2123, 2011, Jun, France, FRA
17.6665, 2011, Jul, France, FRA
19.441, 2011, Aug, France, FRA
17.949, 2011, Sep, France, FRA
13.0144, 2011, Oct, France, FRA
9.46741, 2011, Nov, France, FRA
6.60594, 2011, Dec, France, FRA
5.14496, 2012, Jan, France, FRA
0.87966, 2012, Feb, France, FRA
9.54912, 2012, Mar, France, FRA
9.22995, 2012, Apr, France, FRA
14.6983, 2012, May, France, FRA
17.4163, 2012, Jun, France, FRA
18.6308, 2012, Jul, France, FRA
20.68, 2012, Aug, France, FRA
16.2084, 2012, Sep, France, FRA
12.676, 2012, Oct, France, FRA
7.88159, 2012, Nov, France, FRA
5.50313, 2012, Dec, France, FRA
3.49116, 2013, Jan, France, FRA
2.48026, 2013, Feb, France, FRA
5.57218, 2013, Mar, France, FRA
9.72794, 2013, Apr, France, FRA
11.4035, 2013, May, France, FRA
16.2748, 2013, Jun, France, FRA
21.5357, 2013, Jul, France, FRA
19.7357, 2013, Aug, France, FRA
16.7356, 2013, Sep, France, FRA
14.0516, 2013, Oct, France, FRA
6.93824, 2013, Nov, France, FRA
5.07302, 2013, Dec, France, FRA
6.32828, 2014, Jan, France, FRA
6.5736, 2014, Feb, France, FRA
8.77471, 2014, Mar, France, FRA
11.9171, 2014, Apr, France, FRA
13.3837, 2014, May, France, FRA
18.4276, 2014, Jun, France, FRA
19.3381, 2014, Jul, France, FRA
17.8256, 2014, Aug, France, FRA
17.7705, 2014, Sep, France, FRA
14.6035, 2014, Oct, France, FRA
9.862, 2014, Nov, France, FRA
5.20424, 2014, Dec, France, FRA
4.36533, 2015, Jan, France, FRA
3.63678, 2015, Feb, France, FRA
7.88041, 2015, Mar, France, FRA
11.3914, 2015, Apr, France, FRA
14.2367, 2015, May, France, FRA
18.6567, 2015, Jun, France, FRA
21.4184, 2015, Jul, France, FRA
20.2501, 2015, Aug, France, FRA
15.1875, 2015, Sep, France, FRA
11.4637, 2015, Oct, France, FRA
9.73877, 2015, Nov, France, FRA
7.74643, 2015, Dec, France, FRA
5.62777, 2016, Jan, France, FRA
5.96637, 2016, Feb, France, FRA
6.67308, 2016, Mar, France, FRA
9.61717, 2016, Apr, France, FRA
13.5965, 2016, May, France, FRA
17.0341, 2016, Jun, France, FRA
19.9903, 2016, Jul, France, FRA
20.3078, 2016, Aug, France, FRA
18.4832, 2016, Sep, France, FRA
11.4876, 2016, Oct, France, FRA
7.808, 2016, Nov, France, FRA
4.5887, 2016, Dec, France, FRA
"
