"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1949,9.4,13.7,5.4,NA,14.6,101,17,7,59,0,2
1950,8.4,12.1,5.2,NA,15.3,125,28,11,41,0,2
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,9,13,5.7,NA,16.5,102,17,6,63,0,0
1954,7.8,11.5,4.6,NA,15.6,154,25,3,59,0,1
1955,7.9,11.8,4.5,NA,13.8,120,29,10,64,0,1
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,8.5,13.1,4.4,560.33,13.4,194,57,31,78,0,9
1974,8.6,12.8,4.8,1139.44,14.3,241,35,24,66,0,8
1975,8.8,12.9,5.1,587.25,13,202,32,14,75,0,5
1976,9.1,13.5,5.1,517.9,13.1,172,37,22,77,0,5
1977,8.5,12.3,4.9,828.08,13.5,229,51,27,103,0,12
1978,7.5,11.3,4,776.97,13.6,220,57,28,94,0,8
1979,7.7,11.6,4,963.66,13.7,204,64,28,92,0,7
1980,7.6,11.3,4.1,873.82,13.9,213,51,21,90,1,7
1981,8.3,12.1,4.8,1021.82,13.7,225,65,29,82,0,5
1982,8.9,13.2,5.1,943.32,13.9,210,35,33,83,3,12
1983,9,13.1,5.2,813.58,14.4,208,43,34,81,0,7
1984,8.1,11.9,4.7,1053.62,13.2,217,54,17,98,0,5
1985,7.5,11.3,3.8,879.99,13.5,191,62,35,77,0,4
1986,7.9,11.7,4.3,1045.65,14.2,211,62,26,68,0,8
1987,7.6,11.2,4.2,1091.63,13.3,209,45,26,81,0,6
1988,9.1,12.7,5.6,1123.65,13.8,248,46,24,93,1,2
1989,9.6,13.7,5.8,876.03,12.3,214,49,38,105,0,3
1990,9.8,13.8,5.9,989.82,13.7,215,58,34,85,0,4
1991,8.9,13,5.1,649.74,13.3,179,51,22,69,0,6
1992,9.6,13.5,5.8,733.13,13.4,221,48,37,89,0,3
1993,9,12.9,5.3,856.97,14,195,53,38,73,0,3
1994,10.2,14,6.6,687.61,14,38,4,2,11,0,0
1995,9.7,13.6,6,776.55,13,100,19,15,46,0,5
1996,8,11.8,4.4,619.31,9.6,166,48,10,61,0,1
1997,9.6,13.7,5.9,823.53,6,180,28,27,63,0,7
1998,9.3,13.1,5.9,809.3,10.7,211,38,13,47,0,8
1999,9.9,13.8,6.3,735,12.2,208,57,31,50,0,3
2000,10.1,13.9,6.5,NA,12.3,225,27,31,48,0,5
2001,9.6,13.5,5.9,NA,12.6,200,47,17,68,0,4
2002,NA,NA,NA,NA,NA,193,15,18,64,0,4
2003,10.4,14.9,6.2,639.06,11.7,158,25,31,61,0,4
2004,9.3,13.2,5.7,714.79,12.1,204,44,35,70,0,4
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,10.2,14.1,6.5,NA,12,174,29,26,64,0,5
2007,10.5,14.4,6.7,993.17,13.2,193,16,27,45,0,1
2008,9.7,13.7,6,872.49,13,205,31,21,63,1,2
2009,10,14.1,6.1,801.12,12.4,173,40,27,57,0,4
2010,8.7,12.8,5,825.42,12.4,177,66,16,58,0,4
2011,10.7,15,6.6,631.48,12.2,187,30,26,66,1,2
2012,9.7,13.7,5.8,881.6,12.5,208,36,23,68,0,5
2013,9.1,12.9,5.6,679.46,12.5,186,54,26,59,0,2
2014,10.9,14.7,7.3,411.25,11.6,205,17,21,82,0,4
2015,10.5,14.4,6.6,NA,12.7,196,29,17,77,0,6
2016,9.9,13.8,6.2,NA,12.2,225,34,31,93,0,1
2017,10.3,14.3,6.4,661.9,13.4,208,41,31,89,0,2
2018,11.4,15.6,7.2,NA,14.7,173,39,29,69,0,3
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
