"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,27.5,28.9,26.3,0,10.5,0,0,0,0,0,0
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,15.85,22.725,8.925,411.8425,16.375,81.4,0,0,0,0,0
2007,16.54,22.78,10.56,547.236,15.5,63.6,0,0,0,0,0
2008,15.64,21.82,9.74,523.286,15.28,64,0,0,0,0,0
2009,16.66,23.02,10.54,465.14,15.4,0.6,0,0,0,0,0
2010,17.9666666666667,23.2166666666667,12.9166666666667,515.681666666667,14.12,0,0,0,0,0,0
2011,14.3666666666667,20.1666666666667,8.98333333333333,733.895,14.2166666666667,0,0,0,0,0,0
2012,15.92,22.26,9.84,497.914,13.88,0,0,0,0,0,0
2013,14.56,20.96,8.48,442.034,15.36,5.4,0,0,0,0,0
2014,14.48,20.56,8.8,593.594,14.66,62,5.6,0,0,0,0
2015,14.14,19.46,8.28,626.704,14.58,73.4,0,0,36.4,0,0
2016,15.05,20.2666666666667,9.38333333333333,782.902,14.1666666666667,82.1666666666667,0,0,48.5,0,0
2017,15.1166666666667,20.6666666666667,9.1,610.506,13.6333333333333,73.6666666666667,0.166666666666667,0,35.3333333333333,0,0
2018,14.98,20.7,8.78,581.755,12.925,83.2,0.2,0,15.2,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
