"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1933","-","-","-","-","-","-","-","-","-","-","-"
"2","1934","-","-","-","-","-","-","-","-","-","-","-"
"3","1935","-","-","-","-","-","-","-","-","-","-","-"
"4","1936","-","-","-","-","-","-","-","-","-","-","-"
"5","1937","-","-","-","-","-","-","-","-","-","-","-"
"6","1949","-","-","-","-","-","-","-","-","-","-","-"
"7","1950","-","-","-","-","-","-","-","-","-","-","-"
"8","1951","-","-","-","-","-","-","-","-","-","-","-"
"9","1952","-","-","-","-","-","-","-","-","-","-","-"
"10","1953","-","-","-","-","-","-","-","-","-","-","-"
"11","1954","-","-","-","-","-","-","-","-","-","-","-"
"12","1955","-","-","-","-","-","-","-","-","-","-","-"
"13","1956","-","-","-","-","-","-","-","-","-","-","-"
"14","1957","-","-","-","-","-","-","-","-","-","-","-"
"15","1958","-","-","-","-","-","-","-","-","-","-","-"
"16","1959","-","-","-","-","-","-","-","-","-","-","-"
"17","1960","-","-","-","-","-","-","-","-","-","-","-"
"18","1961","-","-","-","-","-","-","-","-","-","-","-"
"19","1962","-","-","-","-","-","-","-","-","-","-","-"
"20","1963","-","-","-","-","-","-","-","-","-","-","-"
"21","1964","-","-","-","-","-","-","-","-","-","-","-"
"22","1965","11.7","17.7","6.0","-","4.6","64","34","24","30","0","0"
"23","1966","14.3","20.8","8.6","1244.40","4.1","80","7","28","22","0","1"
"24","1967","11.6","17.6","6.4","913.91","5.1","79","20","33","20","0","0"
"25","1968","12.3","18.2","6.7","122.93","4.0","64","23","19","44","0","0"
"26","1969","11.4","17.0","6.1","990.63","4.5","79","40","24","41","0","1"
"27","1970","13.7","19.9","7.7","259.86","6.0","49","19","16","12","0","0"
"28","1971","-","-","-","-","-","-","-","-","-","-","-"
"29","1973","10.8","17.3","5.4","150.65","3.0","66","34","24","33","0","1"
"30","1974","11.1","17.5","5.7","163.85","2.5","79","35","22","47","0","1"
"31","1975","12.2","18.6","6.4","130.57","4.2","56","17","33","13","1","1"
"32","1976","11.8","18.2","6.1","248.97","4.3","79","27","31","8","0","3"
"33","1977","11.5","18.0","5.7","162.85","4.5","65","37","34","35","0","1"
"34","1978","12.1","18.4","6.4","170.42","4.7","78","28","27","17","0","1"
"35","1979","13.6","20.2","7.6","87.17","5.2","76","12","42","19","1","2"
"36","1980","12.7","19.5","6.4","91.74","4.7","66","27","32","15","0","1"
"37","1981","13.1","19.6","7.2","99.34","5.0","75","9","33","7","0","2"
"38","1982","11.0","17.0","5.1","355.11","4.7","60","30","31","19","1","5"
"39","1983","11.5","17.8","5.6","415.78","4.4","69","15","42","39","1","0"
"40","1984","12.2","18.7","6.3","415.28","8.0","69","21","40","26","0","2"
"41","1985","11.9","18.4","5.7","189.17","8.2","58","38","44","37","1","0"
"42","1986","12.6","19.0","7.0","339.62","7.7","75","30","47","24","0","0"
"43","1987","12.7","19.1","6.7","415.55","7.9","70","22","31","12","1","4"
"44","1988","11.7","18.1","6.1","357.67","8.2","92","44","46","21","0","2"
"45","1989","13.3","20.3","7.0","372.16","9.0","68","13","49","15","0","2"
"46","1990","12.2","18.9","6.1","465.86","7.6","58","24","25","33","0","3"
"47","1991","-","-","-","-","-","-","-","-","-","-","-"
"48","1992","-","-","-","-","-","-","-","-","-","-","-"
"49","1993","-","-","-","-","-","-","-","-","-","-","-"
"50","1994","-","-","-","-","-","-","-","-","-","-","-"
"51","1995","13.1","19.7","6.7","-","7.5","57","19","32","27","0","1"
"52","1996","13.3","19.5","7.5","-","9.0","63","16","43","11","1","0"
"53","1997","12.4","18.7","6.1","8.13","8.6","66","18","61","12","0","0"
"54","1998","13.7","20.4","6.9","167.15","7.6","78","13","66","17","0","0"
"55","1999","13.5","20.4","6.7","-","7.2","80","5","64","10","0","0"
"56","2000","13.0","19.7","6.2","-","8.3","57","21","68","14","0","0"
"57","2001","13.2","19.7","6.7","-","9.0","79","13","74","19","0","1"
"58","2002","-","-","-","-","-","87","19","79","18","0","0"
"59","2003","-","-","-","-","-","-","-","-","-","-","-"
