"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","-","-","-","-","-","-","-","-","-","-","-"
"2","1950","-","-","-","-","-","-","-","-","-","-","-"
"3","1951","-","-","-","-","-","-","-","-","-","-","-"
"4","1952","-","-","-","-","-","-","-","-","-","-","-"
"5","1953","-","-","-","-","-","-","-","-","-","-","-"
"6","1954","-","-","-","-","-","-","-","-","-","-","-"
"7","1955","-","-","-","-","-","-","-","-","-","-","-"
"8","1956","-","-","-","-","-","-","-","-","-","-","-"
"9","1957","-","-","-","-","-","-","-","-","-","-","-"
"10","1958","-","-","-","-","-","-","-","-","-","-","-"
"11","1959","-","-","-","-","-","-","-","-","-","-","-"
"12","1960","4.6","8.4","0.4","-","12.3","127","68","15","62","0","3"
"13","1961","6.3","10.0","2.3","-","15.8","161","81","21","52","0","6"
"14","1962","4.6","8.2","0.7","-","15.3","160","80","7","33","0","3"
"15","1963","3.8","8.4","-1.5","-","14.2","103","76","16","36","0","0"
"16","1964","-","-","-","-","-","-","-","-","-","-","-"
"17","1965","4.2","8.4","-0.5","-","16.8","121","96","4","35","0","1"
"18","1966","3.9","7.8","-0.4","1180.00","14.4","127","95","13","51","0","0"
"19","1967","5.2","9.3","0.5","1392.09","14.2","148","81","13","67","0","3"
"20","1968","4.3","8.4","-0.4","529.13","14.1","130","79","16","43","0","2"
"21","1969","3.4","8.0","-1.7","827.56","14.2","117","81","14","42","0","1"
"22","1970","4.2","8.3","-0.5","766.28","13.6","123","87","10","44","0","0"
"23","1971","-","-","-","-","-","-","-","-","-","-","-"
"24","1973","5.2","9.3","0.7","766.06","12.3","136","94","20","30","0","3"
"25","1974","6.0","9.9","2.1","651.47","12.1","152","66","14","40","0","3"
"26","1975","6.7","11.2","1.9","430.98","14.2","128","73","14","39","0","3"
"27","1976","3.5","7.6","-0.9","494.25","13.9","124","103","9","44","0","2"
"28","1977","4.7","8.5","0.6","705.82","13.3","154","81","12","33","0","2"
"29","1978","3.7","7.5","-0.3","755.32","13.5","138","90","8","37","2","2"
"30","1979","4.9","8.8","0.6","496.04","15.0","132","87","10","36","0","1"
"31","1980","4.2","8.2","-0.2","720.11","13.4","127","104","6","37","0","1"
"32","1981","5.1","8.8","1.3","766.88","14.3","144","110","19","34","0","1"
"33","1982","5.5","9.6","1.6","450.33","14.7","138","63","9","40","0","2"
"34","1983","6.3","10.1","2.2","1104.47","15.8","135","88","10","30","0","2"
"35","1984","5.6","9.6","1.6","501.13","13.9","133","78","13","40","0","0"
"36","1985","3.7","7.6","-0.4","728.23","13.6","146","101","24","47","0","0"
"37","1986","5.0","9.0","0.9","835.70","14.5","126","73","16","30","0","0"
"38","1987","3.2","7.3","-0.8","698.75","14.0","111","77","9","46","0","0"
"39","1988","5.7","9.6","1.6","566.62","14.8","96","96","14","43","0","0"
"40","1989","7.2","11.1","3.2","573.58","15.1","141","43","19","36","0","0"
"41","1990","6.6","10.2","2.6","959.18","14.5","153","56","15","31","0","0"
"42","1991","6.3","10.0","2.4","604.28","14.2","143","56","6","28","0","0"
"43","1992","6.5","10.1","2.5","487.70","14.3","115","64","6","26","0","1"
"44","1993","4.9","8.6","1.1","835.47","14.5","101","52","6","11","0","0"
"45","1994","5.3","9.1","1.3","566.43","14.1","128","63","6","17","0","1"
"46","1995","6.2","10.2","2.1","554.84","14.4","113","71","18","24","0","0"
"47","1996","4.4","8.6","0.0","523.31","13.0","95","58","6","33","0","0"
"48","1997","6.1","9.7","2.0","-","11.9","139","84","9","11","0","1"
"49","1998","-","-","-","-","-","-","-","-","-","-","-"
"50","1999","7.1","10.7","2.4","644.29","12.3","125","90","16","29","0","3"
"51","2000","7.7","10.9","3.3","-","13.4","170","67","16","33","0","2"
"52","2001","6.5","10.0","2.0","-","12.1","158","90","20","23","0","5"
"53","2002","-","-","-","-","-","-","-","-","-","-","-"
"54","2003","6.2","9.6","1.9","715.01","12.5","178","83","18","32","0","4"
"55","2004","6.3","9.8","2.1","717.11","12.6","157","87","16","39","0","2"
"56","2005","-","-","-","-","-","-","-","-","-","-","-"
"57","2006","7.0","11.4","2.3","551.78","12.8","143","74","10","29","0","0"
"58","2007","7.1","11.9","2.5","674.20","14.1","195","81","15","34","0","0"
"59","2008","7.3","11.5","3.2","902.26","15.5","226","81","20","22","0","2"
"60","2009","6.1","10.6","1.9","821.73","13.7","185","100","15","48","0","2"
"61","2010","5.1","10.2","0.6","839.48","13.0","169","120","26","54","0","1"
"62","2011","7.1","11.8","2.4","521.71","15.1","177","83","24","54","0","0"
"63","2012","5.4","10.0","1.1","722.93","14.0","190","102","18","47","0","2"
"64","2013","6.8","11.7","2.0","521.24","13.7","171","88","23","53","0","4"
"65","2014","6.9","11.8","2.4","683.02","12.9","174","69","23","69","0","1"
"66","2015","7.5","12.3","2.9","627.39","14.6","218","69","10","94","0","0"
"67","2016","6.6","10.4","2.2","-","13.5","205","115","17","75","0","3"
"68","2017","6.4","10.5","2.3","-","14.2","228","102","13","76","0","5"
"69","2018","7.3","12.1","2.5","504.45","13.1","176","106","14","65","0","1"
"70","2019","-","-","-","-","-","-","-","-","-","-","-"
